provider,title,tags,rating,reviews
Coursera Project Network,Advanced Commands in Linux,Computer Programming& Computer Programming Tools& Linux& Operating Systems,3,20
Coursera Project Network,Text Editing in Linux,Project Management& Strategy and Operations,3,20
IBM Skills Network,Hands-on Introduction to Linux Commands and Shell Scripting,Operating Systems& System Programming& System Software& Computer Programming& Linux& Programming Principles,4.7,(546 reviews)
University of Colorado Boulder,Linux System Programming and Introduction to Buildroot,Computer Programming& Computer Programming Tools& Operating Systems& System Programming& Linux,4.0,(21 reviews)
University of Colorado Boulder,Linux Kernel Programming and Introduction to Yocto Project,Operating Systems& Systems Design& Theoretical Computer Science& Linux,3,20
LearnQuest,Managing Linux Systems,Linux& Operating Systems& Computer Networking& Computer Programming& Computer Programming Tools& Data Management& Data Warehousing,4.5,(82 reviews)
Dartmouth College,C Programming: Advanced Data Types - 5,Computer Programming,3.9,(7 reviews)
Dartmouth College,Linux Basics: The Command Line Interface - 6,Computer Programming& Human Computer Interaction& Java Programming& Linux& Mobile Development& Software Architecture& Software Engineering& Theoretical Computer Science& User Experience,4.6,(7 reviews)
Google,Google IT Automation with Python,Computer Programming& Python Programming& Cloud Computing& Computer Programming Tools& Google Cloud Platform& Information Technology& Leadership and Management& Statistical Programming& Theoretical Computer Science& Computational Thinking& Cloud Management& Cloud-Based Integration& Software Engineering& Software Testing& Application Development& Cloud Platforms& Computational Logic& Data Structures& Entrepreneurship& Mathematical Theory &amp; Analysis& Mathematics& Other Programming Languages& Problem Solving& Programming Principles& Research and Design& Software Engineering Tools,4.7,(35.1k reviews)
Meta,Meta Database Engineer,Statistical Programming& Computer Programming& Data Management& Databases& SQL& Python Programming& Programming Principles& Software Engineering& Theoretical Computer Science& Database Administration& Application Development& Computer Programming Tools& Database Application& Software Architecture& Software Engineering Tools& Database Design& Software Testing& Data Analysis& Data Structures& Database Theory& Human Computer Interaction& Javascript& User Experience& Web Development& Applied Machine Learning& Business Analysis& Collaboration& Communication& Entrepreneurship& Exploratory Data Analysis& Leadership and Management& Linux& Machine Learning& Market Research& Operating Systems& Probability &amp; Statistics& Research and Design& Accounting& Data Model& Data Warehousing& Django (Web Framework)& Financial Analysis& Journalism& Mathematics& Operations Research& Other Programming Languages& Project Management& Strategy and Operations,4.7,(1.6k reviews)
