provider,title,tags,rating,reviews
University of Illinois at Urbana-Champaign,Data Mining,Machine Learning& Data Analysis& Data Mining& Natural Language Processing& Machine Learning Algorithms& Data Science& Data Visualization& Probability &amp; Statistics& Python Programming& Statistical Programming& Bayesian Statistics& C Programming Language Family& Computer Programming& Algorithms& Applied Machine Learning& Bioinformatics& Business Psychology& Calculus& Computer Graphics& Data Management& Data Structures& Entrepreneurship& General Statistics& Geovisualization& Mathematics& Network Analysis& Project Management& Spatial Data Analysis& Statistical Analysis& Strategy and Operations& Theoretical Computer Science,4.5,(2.8k reviews)
University of Colorado Boulder,Data Mining Foundations and Practice,Data Management& Theoretical Computer Science& Data Analysis& Data Mining& Data Warehousing& Algorithms& General Statistics& Probability &amp; Statistics,3.0,(15 reviews)
Google,Google Data Analytics,Data Analysis& Statistical Programming& Data Science& Business Analysis& SQL& Spreadsheet Software& Data Visualization& Business& Data Management& Data Visualization Software& R Programming& Leadership and Management& Exploratory Data Analysis& Statistical Visualization& Change Management& Strategy and Operations& Communication& Statistical Analysis& Data Analysis Software& Business Communication& Data Structures& Tableau Software& Big Data& Cloud Computing& Critical Thinking& Customer Analysis& General Statistics& Plot (Graphics)& Probability &amp; Statistics& Small Data& Algorithms& Application Development& Budget Management& Computational Logic& Computer Architecture& Computer Networking& Computer Programming& Computer Programming Tools& Cryptography& Data Mining& Data Model& Database Administration& Database Design& Databases& Decision Making& Design and Product& Distributed Computing Architecture& Entrepreneurship& Extract& Transform& Load& Feature Engineering& Finance& Financial Analysis& Full-Stack Web Development& Interactive Data Visualization& Machine Learning& Mathematical Theory &amp; Analysis& Mathematics& Network Security& Other Programming Languages& Problem Solving& Product Design& Programming Principles& Project Management& Research and Design& Security Engineering& Security Strategy& Software Engineering& Software Security& Storytelling& Theoretical Computer Science& Visual Design& Visualization (Computer Graphics)& Web Development,4.8,(97.9k reviews)
Unknown,Machine Learning,Machine Learning& Probability &amp; Statistics& Machine Learning Algorithms& General Statistics& Theoretical Computer Science& Algorithms& Applied Machine Learning& Artificial Neural Networks& Econometrics& Regression& Mathematics& Computer Programming& Deep Learning& Python Programming& Statistical Programming& Tensorflow& Data Management& Data Structures& Statistical Machine Learning& Reinforcement Learning& Probability Distribution& Mathematical Theory &amp; Analysis& Data Analysis& Data Mining& Linear Algebra& Computer Vision& Calculus& Feature Engineering& Bayesian Statistics& Operations Research& Research and Design& Strategy and Operations& Computational Logic& Accounting& Communication,4.9,(7.1k reviews)
Coursera Project Network,Introduction to Data Analysis using Microsoft Excel,Business Analysis& Computer Programming& Data Analysis& Data Analysis Software& Data Mining& Microsoft Excel& Spreadsheet Software,4.6,(842 reviews)
IBM Skills Network,What is Data Science?,Data Science& Data Mining& Regression& Basic Descriptive Statistics& Data Analysis& Big Data& Deep Learning& General Statistics& Machine Learning& Probability &amp; Statistics& Storytelling& Writing,4.7,(60.5k reviews)
University of Colorado Boulder,Data Mining Methods,Theoretical Computer Science& Algorithms,3,20
University of Glasgow ,Data mining of Clinical Databases - CDSS 1,,5.0,(6 reviews)
University of Colorado Boulder,Project Planning and Machine Learning,Data Management& Machine Learning& Strategy and Operations& Algorithms& Big Data& Data Analysis& Design and Product& Machine Learning Algorithms& Mathematical Theory &amp; Analysis& Mathematics& Project Management& Theoretical Computer Science& Accounting& Internet Of Things,4.6,(95 reviews)
IBM Skills Network,Data Analysis with Python,Basic Descriptive Statistics& Data Analysis& Data Science& Python Programming& Applied Machine Learning& Data Mining& Data Structures& General Statistics& Machine Learning& Regression& Statistical Analysis& Statistical Tests& Exploratory Data Analysis& Algebra& Business Analysis& Computer Programming& Computer Programming Tools& Correlation And Dependence& Econometrics& Mathematical Theory &amp; Analysis& Probability &amp; Statistics& Spreadsheet Software& Statistical Machine Learning& Statistical Programming,4.7,(16.1k reviews)
University of Illinois at Urbana-Champaign,Cluster Analysis in Data Mining,Machine Learning& Machine Learning Algorithms& Python Programming& Statistical Programming& Algorithms& Calculus& Data Analysis& Data Mining& Mathematics& Natural Language Processing& Theoretical Computer Science,4.5,(398 reviews)
Eindhoven University of Technology,Process Mining: Data science in Action,Business Analysis& Process Analysis& Data Analysis& Data Mining& Machine Learning& Machine Learning Algorithms& Algorithms& Business Process Management& Business Psychology& Communication& Data Management& Data Structures& Entrepreneurship& Leadership and Management& Organizational Development& Strategy and Operations& Theoretical Computer Science,4.7,(1.1k reviews)
University of Illinois at Urbana-Champaign,Data Mining,Machine Learning& Data Analysis& Data Mining& Natural Language Processing& Machine Learning Algorithms& Data Science& Data Visualization& Probability &amp; Statistics& Python Programming& Statistical Programming& Bayesian Statistics& C Programming Language Family& Computer Programming& Algorithms& Applied Machine Learning& Bioinformatics& Business Psychology& Calculus& Computer Graphics& Data Management& Data Structures& Entrepreneurship& General Statistics& Geovisualization& Mathematics& Network Analysis& Project Management& Spatial Data Analysis& Statistical Analysis& Strategy and Operations& Theoretical Computer Science,4.5,(2.8k reviews)
University of Colorado Boulder,Data Mining Foundations and Practice,Data Management& Theoretical Computer Science& Data Analysis& Data Mining& Data Warehousing& Algorithms& General Statistics& Probability &amp; Statistics,3.0,(15 reviews)
