provider,title,tags,rating,reviews
IBM Skills Network,IBM Data Science,Python Programming& Data Science& Data Analysis& Data Structures& Statistical Programming& Machine Learning& Data Mining& Regression& Machine Learning Algorithms& Data Visualization& General Statistics& Basic Descriptive Statistics& SQL& Applied Machine Learning& Statistical Analysis& Computer Programming Tools& Data Analysis Software& Machine Learning Software& Software Visualization& Databases& Programming Principles& Exploratory Data Analysis& Algebra& Data Management& Database Theory& Data Visualization Software& R Programming& Statistical Machine Learning& Statistical Tests& Deep Learning& Probability &amp; Statistics& Statistical Visualization& Database Application& Extract& Transform& Load& Devops Tools& SPSS& Estimation& Interactive Data Visualization& Algorithms& Computer Programming& Database Administration& Geovisualization& Plot (Graphics)& Reinforcement Learning& Theoretical Computer Science& Big Data& Business Analysis& Computational Logic& Correlation And Dependence& Econometrics& Entrepreneurship& Marketing& Mathematical Theory &amp; Analysis& Mathematics& Spreadsheet Software& Storytelling& Supply Chain Systems& Supply Chain and Logistics& Writing,4.6,(105k reviews)
Google,Google Data Analytics,Data Analysis& Statistical Programming& Data Science& Business Analysis& SQL& Spreadsheet Software& Data Visualization& Business& Data Management& Data Visualization Software& R Programming& Leadership and Management& Exploratory Data Analysis& Statistical Visualization& Change Management& Strategy and Operations& Communication& Statistical Analysis& Data Analysis Software& Business Communication& Data Structures& Tableau Software& Big Data& Cloud Computing& Critical Thinking& Customer Analysis& General Statistics& Plot (Graphics)& Probability &amp; Statistics& Small Data& Algorithms& Application Development& Budget Management& Computational Logic& Computer Architecture& Computer Networking& Computer Programming& Computer Programming Tools& Cryptography& Data Mining& Data Model& Database Administration& Database Design& Databases& Decision Making& Design and Product& Distributed Computing Architecture& Entrepreneurship& Extract& Transform& Load& Feature Engineering& Finance& Financial Analysis& Full-Stack Web Development& Interactive Data Visualization& Machine Learning& Mathematical Theory &amp; Analysis& Mathematics& Network Security& Other Programming Languages& Problem Solving& Product Design& Programming Principles& Project Management& Research and Design& Security Engineering& Security Strategy& Software Engineering& Software Security& Storytelling& Theoretical Computer Science& Visual Design& Visualization (Computer Graphics)& Web Development,4.8,(97.9k reviews)
IBM Skills Network,Introduction to Data Science,Data Science& Data Structures& SQL& Computer Programming Tools& Data Analysis Software& Machine Learning Software& Software Visualization& Statistical Programming& Databases& Python Programming& Database Theory& Data Visualization Software& R Programming& Data Management& Data Mining& Database Application& Regression& Devops Tools& Machine Learning Algorithms& SPSS& Basic Descriptive Statistics& Data Analysis& Database Administration& Big Data& Computer Programming& Deep Learning& General Statistics& Machine Learning& Marketing& Probability &amp; Statistics& Storytelling& Writing,4.6,(76.3k reviews)
University of Michigan,Applied Data Science with Python,Python Programming& Machine Learning& Data Analysis& Data Mining& Data Science& Machine Learning Algorithms& Computer Science& Statistical Programming& Applied Machine Learning& Graph Theory& Mathematics& General Statistics& Basic Descriptive Statistics& Statistical Machine Learning& Data Structures& Natural Language Processing& Regression& Dimensionality Reduction& Exploratory Data Analysis& Feature Engineering& Statistical Analysis& Statistical Tests& Correlation And Dependence& Estimation& Linear Algebra& Computer Programming& Data Architecture& Probability &amp; Statistics& Statistical Visualization& Algorithms& Artificial Neural Networks& Computational Logic& Computer Graphics& Data Visualization& Econometrics& Machine Learning Software& Mathematical Theory &amp; Analysis& Network Analysis& Plot (Graphics)& Programming Principles& Theoretical Computer Science,4.5,(32.9k reviews)
University of Colorado Boulder,Data Science Graduate Certificate,Probability &amp; Statistics& General Statistics& Regression& Machine Learning& Data Analysis& Machine Learning Algorithms& Data Management& Theoretical Computer Science& Probability Distribution& Statistical Analysis& Statistical Machine Learning& Mathematics& Statistical Tests& Business Analysis& Data Mining& Deep Learning& Python Programming& Statistical Programming& Artificial Neural Networks& Experiment& Applied Machine Learning& Data Warehousing& Correlation And Dependence& Econometrics& Reinforcement Learning& Calculus& Estimation& Exploratory Data Analysis& Basic Descriptive Statistics& Differential Equations& Feature Engineering& Natural Language Processing& Spreadsheet Software& Algorithms& Communication& Data Science& Data Structures& Dimensionality Reduction& Linear Algebra& Marketing& R Programming& SQL,3,20
Johns Hopkins University,Data Science,R Programming& Data Analysis& Statistical Programming& Data Science& General Statistics& Statistical Analysis& Probability &amp; Statistics& Statistical Tests& Machine Learning& Exploratory Data Analysis& Basic Descriptive Statistics& Machine Learning Software& Linear Algebra& Bayesian Statistics& Correlation And Dependence& Econometrics& Estimation& Regression& Data Visualization Software& Software Visualization& Statistical Visualization& Probability Distribution& Theoretical Computer Science& Data Visualization& Interactive Data Visualization& Natural Language Processing& Plot (Graphics)& Big Data& Computer Programming& Computer Programming Tools& Data Structures& Experiment& Machine Learning Algorithms& Software Engineering Tools& Spreadsheet Software& Algorithms& Application Development& Applied Machine Learning& Business Analysis& Data Management& Extract& Transform& Load& Knitr,4.5,(49.8k reviews)
Unknown,Machine Learning,Machine Learning& Probability &amp; Statistics& Machine Learning Algorithms& General Statistics& Theoretical Computer Science& Algorithms& Applied Machine Learning& Artificial Neural Networks& Econometrics& Regression& Mathematics& Computer Programming& Deep Learning& Python Programming& Statistical Programming& Tensorflow& Data Management& Data Structures& Statistical Machine Learning& Reinforcement Learning& Probability Distribution& Mathematical Theory &amp; Analysis& Data Analysis& Data Mining& Linear Algebra& Computer Vision& Calculus& Feature Engineering& Bayesian Statistics& Operations Research& Research and Design& Strategy and Operations& Computational Logic& Accounting& Communication,4.9,(7.1k reviews)
IBM Skills Network,IBM Data Analyst,Data Analysis& Python Programming& Data Visualization& Exploratory Data Analysis& Business Analysis& Basic Descriptive Statistics& Data Structures& Data Science& Statistical Programming& Microsoft Excel& Spreadsheet Software& Data Management& General Statistics& Plot (Graphics)& SQL& Statistical Visualization& Databases& Data Mining& Statistical Analysis& Programming Principles& Probability &amp; Statistics& Regression& Machine Learning& Algebra& Data Analysis Software& Data Visualization Software& Database Theory& Probability Distribution& Applied Machine Learning& Statistical Tests& Big Data& Correlation And Dependence& Database Application& Estimation& NoSQL& Geovisualization& ArcGIS& Cloud Computing& Computer Programming& Data Warehousing& Database Administration& Extract& Transform& Load& HTML and CSS& Knitr& Mathematics& Minitab& PostgreSQL& R Programming& SAS (Software)& SPSS& Apache& Computational Logic& Computer Programming Tools& Econometrics& Leadership and Management& Mathematical Theory &amp; Analysis& Operating Systems& Professional Development& Statistical Machine Learning& System Programming& Theoretical Computer Science,4.6,(59.8k reviews)
IBM Skills Network,Data Science Fundamentals with Python and SQL,Data Structures& Python Programming& Data Analysis& SQL& Statistical Programming& Computer Programming Tools& Data Analysis Software& General Statistics& Machine Learning Software& Probability &amp; Statistics& Software Visualization& Databases& Programming Principles& Algebra& Database Theory& Data Visualization Software& R Programming& Data Management& Data Science& Basic Descriptive Statistics& Business Analysis& Probability Distribution& Statistical Analysis& Statistical Tests& Database Application& Devops Tools& Machine Learning Algorithms& SPSS& Correlation And Dependence& Data Visualization& Exploratory Data Analysis& Plot (Graphics)& Regression& Statistical Visualization& Computer Programming& Database Administration& Extract& Transform& Load& Computational Logic& Machine Learning& Mathematical Theory &amp; Analysis& Mathematics& Theoretical Computer Science,4.5,(52.1k reviews)
University of Michigan,Python for Everybody,Computer Programming& Python Programming& Statistical Programming& Data Management& SQL& Databases& Extract& Transform& Load& Computer Networking& Network Model& Other Programming Languages& Computational Logic& Computer Programming Tools& Data Structures& Javascript& Natural Language Processing& Programming Principles& Software Architecture& Software Engineering& Theoretical Computer Science& Web Development,4.8,(259.6k reviews)
University of Michigan,Master of Applied Data Science,Machine Learning& Mathematics& Data Analysis& Data Mining& Databases& Probability &amp; Statistics& Network Analysis& Communication& Machine Learning Algorithms& PostgreSQL& Statistical Programming& Data Management& SQL& Deep Learning& Natural Language Processing& Research and Design& Storytelling& Computer Programming& Data Visualization& Graph Theory& Theoretical Computer Science& Algebra& Algorithms& Applied Machine Learning& Artificial Neural Networks& Business Communication& Computer Networking& Computer Programming Tools& Database Design& Experiment& Javascript& Network Model& Operating Systems& Probability Distribution& Python Programming& Scientific Visualization& Security Engineering& Software Architecture& Software Engineering& Software Security& System Security& Visual Design& Web Development& Advertising& Apache& Big Data& Business Psychology& Computational Logic& Data Structures& Econometrics& Extract& Transform& Load& Finance& Human Computer Interaction& Marketing& Mathematical Theory &amp; Analysis& Mergers &amp; Acquisitions& Other Programming Languages& Programming Principles& Regression& Systems Design& Training& User Experience,3,20
University of London,Foundations of Data Science: K-Means Clustering in Python,Algorithms& Theoretical Computer Science& Computer Programming& General Statistics& Probability &amp; Statistics& Python Programming& Statistical Programming& Data Analysis& Data Visualization& Machine Learning& Plot (Graphics)& Business Analysis& Machine Learning Algorithms& Statistical Analysis,4.6,(502 reviews)
IBM Skills Network,IBM Data Science,Python Programming& Data Science& Data Analysis& Data Structures& Statistical Programming& Machine Learning& Data Mining& Regression& Machine Learning Algorithms& Data Visualization& General Statistics& Basic Descriptive Statistics& SQL& Applied Machine Learning& Statistical Analysis& Computer Programming Tools& Data Analysis Software& Machine Learning Software& Software Visualization& Databases& Programming Principles& Exploratory Data Analysis& Algebra& Data Management& Database Theory& Data Visualization Software& R Programming& Statistical Machine Learning& Statistical Tests& Deep Learning& Probability &amp; Statistics& Statistical Visualization& Database Application& Extract& Transform& Load& Devops Tools& SPSS& Estimation& Interactive Data Visualization& Algorithms& Computer Programming& Database Administration& Geovisualization& Plot (Graphics)& Reinforcement Learning& Theoretical Computer Science& Big Data& Business Analysis& Computational Logic& Correlation And Dependence& Econometrics& Entrepreneurship& Marketing& Mathematical Theory &amp; Analysis& Mathematics& Spreadsheet Software& Storytelling& Supply Chain Systems& Supply Chain and Logistics& Writing,4.6,(105k reviews)
Google,Google Data Analytics,Data Analysis& Statistical Programming& Data Science& Business Analysis& SQL& Spreadsheet Software& Data Visualization& Business& Data Management& Data Visualization Software& R Programming& Leadership and Management& Exploratory Data Analysis& Statistical Visualization& Change Management& Strategy and Operations& Communication& Statistical Analysis& Data Analysis Software& Business Communication& Data Structures& Tableau Software& Big Data& Cloud Computing& Critical Thinking& Customer Analysis& General Statistics& Plot (Graphics)& Probability &amp; Statistics& Small Data& Algorithms& Application Development& Budget Management& Computational Logic& Computer Architecture& Computer Networking& Computer Programming& Computer Programming Tools& Cryptography& Data Mining& Data Model& Database Administration& Database Design& Databases& Decision Making& Design and Product& Distributed Computing Architecture& Entrepreneurship& Extract& Transform& Load& Feature Engineering& Finance& Financial Analysis& Full-Stack Web Development& Interactive Data Visualization& Machine Learning& Mathematical Theory &amp; Analysis& Mathematics& Network Security& Other Programming Languages& Problem Solving& Product Design& Programming Principles& Project Management& Research and Design& Security Engineering& Security Strategy& Software Engineering& Software Security& Storytelling& Theoretical Computer Science& Visual Design& Visualization (Computer Graphics)& Web Development,4.8,(97.9k reviews)
IBM Skills Network,Introduction to Data Science,Data Science& Data Structures& SQL& Computer Programming Tools& Data Analysis Software& Machine Learning Software& Software Visualization& Statistical Programming& Databases& Python Programming& Database Theory& Data Visualization Software& R Programming& Data Management& Data Mining& Database Application& Regression& Devops Tools& Machine Learning Algorithms& SPSS& Basic Descriptive Statistics& Data Analysis& Database Administration& Big Data& Computer Programming& Deep Learning& General Statistics& Machine Learning& Marketing& Probability &amp; Statistics& Storytelling& Writing,4.6,(76.3k reviews)
University of Michigan,Applied Data Science with Python,Python Programming& Machine Learning& Data Analysis& Data Mining& Data Science& Machine Learning Algorithms& Computer Science& Statistical Programming& Applied Machine Learning& Graph Theory& Mathematics& General Statistics& Basic Descriptive Statistics& Statistical Machine Learning& Data Structures& Natural Language Processing& Regression& Dimensionality Reduction& Exploratory Data Analysis& Feature Engineering& Statistical Analysis& Statistical Tests& Correlation And Dependence& Estimation& Linear Algebra& Computer Programming& Data Architecture& Probability &amp; Statistics& Statistical Visualization& Algorithms& Artificial Neural Networks& Computational Logic& Computer Graphics& Data Visualization& Econometrics& Machine Learning Software& Mathematical Theory &amp; Analysis& Network Analysis& Plot (Graphics)& Programming Principles& Theoretical Computer Science,4.5,(32.9k reviews)
University of Colorado Boulder,Data Science Graduate Certificate,Probability &amp; Statistics& General Statistics& Regression& Machine Learning& Data Analysis& Machine Learning Algorithms& Data Management& Theoretical Computer Science& Probability Distribution& Statistical Analysis& Statistical Machine Learning& Mathematics& Statistical Tests& Business Analysis& Data Mining& Deep Learning& Python Programming& Statistical Programming& Artificial Neural Networks& Experiment& Applied Machine Learning& Data Warehousing& Correlation And Dependence& Econometrics& Reinforcement Learning& Calculus& Estimation& Exploratory Data Analysis& Basic Descriptive Statistics& Differential Equations& Feature Engineering& Natural Language Processing& Spreadsheet Software& Algorithms& Communication& Data Science& Data Structures& Dimensionality Reduction& Linear Algebra& Marketing& R Programming& SQL,3,20
Johns Hopkins University,Data Science,R Programming& Data Analysis& Statistical Programming& Data Science& General Statistics& Statistical Analysis& Probability &amp; Statistics& Statistical Tests& Machine Learning& Exploratory Data Analysis& Basic Descriptive Statistics& Machine Learning Software& Linear Algebra& Bayesian Statistics& Correlation And Dependence& Econometrics& Estimation& Regression& Data Visualization Software& Software Visualization& Statistical Visualization& Probability Distribution& Theoretical Computer Science& Data Visualization& Interactive Data Visualization& Natural Language Processing& Plot (Graphics)& Big Data& Computer Programming& Computer Programming Tools& Data Structures& Experiment& Machine Learning Algorithms& Software Engineering Tools& Spreadsheet Software& Algorithms& Application Development& Applied Machine Learning& Business Analysis& Data Management& Extract& Transform& Load& Knitr,4.5,(49.8k reviews)
Unknown,Machine Learning,Machine Learning& Probability &amp; Statistics& Machine Learning Algorithms& General Statistics& Theoretical Computer Science& Algorithms& Applied Machine Learning& Artificial Neural Networks& Econometrics& Regression& Mathematics& Computer Programming& Deep Learning& Python Programming& Statistical Programming& Tensorflow& Data Management& Data Structures& Statistical Machine Learning& Reinforcement Learning& Probability Distribution& Mathematical Theory &amp; Analysis& Data Analysis& Data Mining& Linear Algebra& Computer Vision& Calculus& Feature Engineering& Bayesian Statistics& Operations Research& Research and Design& Strategy and Operations& Computational Logic& Accounting& Communication,4.9,(7.1k reviews)
IBM Skills Network,IBM Data Analyst,Data Analysis& Python Programming& Data Visualization& Exploratory Data Analysis& Business Analysis& Basic Descriptive Statistics& Data Structures& Data Science& Statistical Programming& Microsoft Excel& Spreadsheet Software& Data Management& General Statistics& Plot (Graphics)& SQL& Statistical Visualization& Databases& Data Mining& Statistical Analysis& Programming Principles& Probability &amp; Statistics& Regression& Machine Learning& Algebra& Data Analysis Software& Data Visualization Software& Database Theory& Probability Distribution& Applied Machine Learning& Statistical Tests& Big Data& Correlation And Dependence& Database Application& Estimation& NoSQL& Geovisualization& ArcGIS& Cloud Computing& Computer Programming& Data Warehousing& Database Administration& Extract& Transform& Load& HTML and CSS& Knitr& Mathematics& Minitab& PostgreSQL& R Programming& SAS (Software)& SPSS& Apache& Computational Logic& Computer Programming Tools& Econometrics& Leadership and Management& Mathematical Theory &amp; Analysis& Operating Systems& Professional Development& Statistical Machine Learning& System Programming& Theoretical Computer Science,4.6,(59.8k reviews)
IBM Skills Network,Data Science Fundamentals with Python and SQL,Data Structures& Python Programming& Data Analysis& SQL& Statistical Programming& Computer Programming Tools& Data Analysis Software& General Statistics& Machine Learning Software& Probability &amp; Statistics& Software Visualization& Databases& Programming Principles& Algebra& Database Theory& Data Visualization Software& R Programming& Data Management& Data Science& Basic Descriptive Statistics& Business Analysis& Probability Distribution& Statistical Analysis& Statistical Tests& Database Application& Devops Tools& Machine Learning Algorithms& SPSS& Correlation And Dependence& Data Visualization& Exploratory Data Analysis& Plot (Graphics)& Regression& Statistical Visualization& Computer Programming& Database Administration& Extract& Transform& Load& Computational Logic& Machine Learning& Mathematical Theory &amp; Analysis& Mathematics& Theoretical Computer Science,4.5,(52.1k reviews)
University of Michigan,Python for Everybody,Computer Programming& Python Programming& Statistical Programming& Data Management& SQL& Databases& Extract& Transform& Load& Computer Networking& Network Model& Other Programming Languages& Computational Logic& Computer Programming Tools& Data Structures& Javascript& Natural Language Processing& Programming Principles& Software Architecture& Software Engineering& Theoretical Computer Science& Web Development,4.8,(259.6k reviews)
University of Michigan,Master of Applied Data Science,Machine Learning& Mathematics& Data Analysis& Data Mining& Databases& Probability &amp; Statistics& Network Analysis& Communication& Machine Learning Algorithms& PostgreSQL& Statistical Programming& Data Management& SQL& Deep Learning& Natural Language Processing& Research and Design& Storytelling& Computer Programming& Data Visualization& Graph Theory& Theoretical Computer Science& Algebra& Algorithms& Applied Machine Learning& Artificial Neural Networks& Business Communication& Computer Networking& Computer Programming Tools& Database Design& Experiment& Javascript& Network Model& Operating Systems& Probability Distribution& Python Programming& Scientific Visualization& Security Engineering& Software Architecture& Software Engineering& Software Security& System Security& Visual Design& Web Development& Advertising& Apache& Big Data& Business Psychology& Computational Logic& Data Structures& Econometrics& Extract& Transform& Load& Finance& Human Computer Interaction& Marketing& Mathematical Theory &amp; Analysis& Mergers &amp; Acquisitions& Other Programming Languages& Programming Principles& Regression& Systems Design& Training& User Experience,3,20
University of London,Foundations of Data Science: K-Means Clustering in Python,Algorithms& Theoretical Computer Science& Computer Programming& General Statistics& Probability &amp; Statistics& Python Programming& Statistical Programming& Data Analysis& Data Visualization& Machine Learning& Plot (Graphics)& Business Analysis& Machine Learning Algorithms& Statistical Analysis,4.6,(502 reviews)
IBM Skills Network,IBM Data Science,Python Programming& Data Science& Data Analysis& Data Structures& Statistical Programming& Machine Learning& Data Mining& Regression& Machine Learning Algorithms& Data Visualization& General Statistics& Basic Descriptive Statistics& SQL& Applied Machine Learning& Statistical Analysis& Computer Programming Tools& Data Analysis Software& Machine Learning Software& Software Visualization& Databases& Programming Principles& Exploratory Data Analysis& Algebra& Data Management& Database Theory& Data Visualization Software& R Programming& Statistical Machine Learning& Statistical Tests& Deep Learning& Probability &amp; Statistics& Statistical Visualization& Database Application& Extract& Transform& Load& Devops Tools& SPSS& Estimation& Interactive Data Visualization& Algorithms& Computer Programming& Database Administration& Geovisualization& Plot (Graphics)& Reinforcement Learning& Theoretical Computer Science& Big Data& Business Analysis& Computational Logic& Correlation And Dependence& Econometrics& Entrepreneurship& Marketing& Mathematical Theory &amp; Analysis& Mathematics& Spreadsheet Software& Storytelling& Supply Chain Systems& Supply Chain and Logistics& Writing,4.6,(105k reviews)
Google,Google Data Analytics,Data Analysis& Statistical Programming& Data Science& Business Analysis& SQL& Spreadsheet Software& Data Visualization& Business& Data Management& Data Visualization Software& R Programming& Leadership and Management& Exploratory Data Analysis& Statistical Visualization& Change Management& Strategy and Operations& Communication& Statistical Analysis& Data Analysis Software& Business Communication& Data Structures& Tableau Software& Big Data& Cloud Computing& Critical Thinking& Customer Analysis& General Statistics& Plot (Graphics)& Probability &amp; Statistics& Small Data& Algorithms& Application Development& Budget Management& Computational Logic& Computer Architecture& Computer Networking& Computer Programming& Computer Programming Tools& Cryptography& Data Mining& Data Model& Database Administration& Database Design& Databases& Decision Making& Design and Product& Distributed Computing Architecture& Entrepreneurship& Extract& Transform& Load& Feature Engineering& Finance& Financial Analysis& Full-Stack Web Development& Interactive Data Visualization& Machine Learning& Mathematical Theory &amp; Analysis& Mathematics& Network Security& Other Programming Languages& Problem Solving& Product Design& Programming Principles& Project Management& Research and Design& Security Engineering& Security Strategy& Software Engineering& Software Security& Storytelling& Theoretical Computer Science& Visual Design& Visualization (Computer Graphics)& Web Development,4.8,(97.9k reviews)
IBM Skills Network,Introduction to Data Science,Data Science& Data Structures& SQL& Computer Programming Tools& Data Analysis Software& Machine Learning Software& Software Visualization& Statistical Programming& Databases& Python Programming& Database Theory& Data Visualization Software& R Programming& Data Management& Data Mining& Database Application& Regression& Devops Tools& Machine Learning Algorithms& SPSS& Basic Descriptive Statistics& Data Analysis& Database Administration& Big Data& Computer Programming& Deep Learning& General Statistics& Machine Learning& Marketing& Probability &amp; Statistics& Storytelling& Writing,4.6,(76.3k reviews)
University of Michigan,Applied Data Science with Python,Python Programming& Machine Learning& Data Analysis& Data Mining& Data Science& Machine Learning Algorithms& Computer Science& Statistical Programming& Applied Machine Learning& Graph Theory& Mathematics& General Statistics& Basic Descriptive Statistics& Statistical Machine Learning& Data Structures& Natural Language Processing& Regression& Dimensionality Reduction& Exploratory Data Analysis& Feature Engineering& Statistical Analysis& Statistical Tests& Correlation And Dependence& Estimation& Linear Algebra& Computer Programming& Data Architecture& Probability &amp; Statistics& Statistical Visualization& Algorithms& Artificial Neural Networks& Computational Logic& Computer Graphics& Data Visualization& Econometrics& Machine Learning Software& Mathematical Theory &amp; Analysis& Network Analysis& Plot (Graphics)& Programming Principles& Theoretical Computer Science,4.5,(32.9k reviews)
